dsp_ratio,clb_ratio,config,workload,P,total_dpes,V,H,dpes_per_replica,clbs_avail,dsps_avail,p_dpe,p_clb,p_bram,p_dsp,limit,fmax_mhz,fmax_baseline_mhz,gain,utilization,grid_w,grid_h,clb_count,dsp_count,mem_count,wc_count,run_dir
0.8,0.2,1024x128,fc_512_512,14,80,1,4,4,8782,58,20,94,29,14,dsp,135.4873,147.6473,12.847,0.9176,120,120,1392,56,224,56,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d80_c20/fc_512_512
0.8,0.4,1024x128,fc_512_512,14,130,1,4,4,6586,58,32,70,29,14,dsp,127.534,147.6473,12.0928,0.8638,120,120,1392,56,224,56,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d80_c40/fc_512_512
0.8,0.6,1024x128,fc_512_512,14,190,1,4,4,4391,58,47,47,29,14,dsp,125.6083,147.6473,11.9103,0.8507,120,120,1392,56,224,56,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d80_c60/fc_512_512
0.2,0.0,1024x128,fc_2048_256,2,10,2,2,4,10978,174,2,117,29,43,dpe,137.526,137.526,2.0,1.0,120,120,203,8,36,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d20_c0/fc_2048_256
0.2,0.2,1024x128,fc_2048_256,10,40,2,2,4,8782,174,10,94,29,43,dpe,118.3733,137.526,8.6073,0.8607,120,120,987,40,180,40,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d20_c20/fc_2048_256
0.2,0.4,1024x128,fc_2048_256,25,100,2,2,4,6586,174,25,70,29,43,dpe,124.3007,137.526,22.5958,0.9038,120,120,2513,100,450,100,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d20_c40/fc_2048_256
0.4,0.0,1024x128,fc_2048_256,5,20,2,2,4,10978,145,5,117,29,36,dpe,135.2727,137.526,4.9181,0.9836,120,120,508,20,90,20,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d40_c0/fc_2048_256
0.4,0.2,1024x128,fc_2048_256,12,50,2,2,4,8782,145,12,94,29,36,dpe,133.0437,137.526,11.6089,0.9674,120,120,1204,48,216,48,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d40_c20/fc_2048_256
0.6,0.0,1024x128,fc_2048_256,10,40,2,2,4,10978,87,10,117,29,21,dpe,120.1423,137.526,8.736,0.8736,120,120,987,40,180,40,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d60_c0/fc_2048_256
0.6,0.2,1024x128,fc_2048_256,17,70,2,2,4,8782,87,17,94,29,21,dpe,132.617,137.526,16.3932,0.9643,120,120,1689,68,306,68,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d60_c20/fc_2048_256
0.6,0.4,1024x128,fc_2048_256,21,120,2,2,4,6586,87,30,70,29,21,dsp,129.232,137.526,19.7335,0.9397,120,120,2090,84,378,84,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d60_c40/fc_2048_256
0.6,0.6,1024x128,fc_2048_256,21,180,2,2,4,4391,87,45,47,29,21,dsp,121.8317,137.526,18.6035,0.8859,120,120,2090,84,378,84,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d60_c60/fc_2048_256
0.8,0.0,1024x128,fc_2048_256,12,50,2,2,4,10978,58,12,117,29,14,dpe,133.864,137.526,11.6805,0.9734,120,120,1204,48,216,48,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d80_c0/fc_2048_256
0.8,0.2,1024x128,fc_2048_256,14,80,2,2,4,8782,58,20,94,29,14,dsp,121.977,137.526,12.4171,0.8869,120,120,1396,56,252,56,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d80_c20/fc_2048_256
0.8,0.4,1024x128,fc_2048_256,14,130,2,2,4,6586,58,32,70,29,14,dsp,124.5543,137.526,12.6795,0.9057,120,120,1396,56,252,56,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d80_c40/fc_2048_256
0.8,0.6,1024x128,fc_2048_256,14,190,2,2,4,4391,58,47,47,29,14,dsp,120.2763,137.526,12.244,0.8746,120,120,1396,56,252,56,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x128/d80_c60/fc_2048_256
0.2,0.0,1024x64,fc_512_128,9,19,1,2,2,10978,174,9,117,29,43,dpe,136.4593,136.4593,9.0,1.0,120,120,834,36,144,18,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c0/fc_512_128
0.2,0.2,1024x64,fc_512_128,29,76,1,2,2,8782,174,38,94,29,43,bram,126.1737,136.4593,26.8141,0.9246,120,120,2756,116,464,58,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c20/fc_512_128
0.2,0.4,1024x64,fc_512_128,29,190,1,2,2,6586,174,95,70,29,43,bram,126.8323,136.4593,26.9541,0.9295,120,120,2756,116,464,58,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c40/fc_512_128
0.2,0.6,1024x64,fc_512_128,29,285,1,2,2,4391,174,142,47,29,43,bram,122.0823,136.4593,25.9446,0.8946,120,120,2756,116,464,58,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c60/fc_512_128
0.4,0.0,1024x64,fc_512_128,19,38,1,2,2,10978,145,19,117,29,36,dpe,129.8733,136.4593,18.083,0.9517,120,120,1772,76,304,38,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c0/fc_512_128
0.4,0.2,1024x64,fc_512_128,29,95,1,2,2,8782,145,47,94,29,36,bram,128.385,136.4593,27.2841,0.9408,120,120,2756,116,464,58,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c20/fc_512_128
0.4,0.4,1024x64,fc_512_128,29,209,1,2,2,6586,145,104,70,29,36,bram,125.3957,136.4593,26.6488,0.9189,120,120,2756,116,464,58,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c40/fc_512_128
0.4,0.6,1024x64,fc_512_128,29,304,1,2,2,4391,145,152,47,29,36,bram,125.724,136.4593,26.7186,0.9213,120,120,2756,116,464,58,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c60/fc_512_128
0.6,0.0,1024x64,fc_512_128,21,76,1,2,2,10978,87,38,117,29,21,dsp,129.5177,136.4593,19.9317,0.9491,120,120,1936,84,336,42,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c0/fc_512_128
0.6,0.2,1024x64,fc_512_128,21,133,1,2,2,8782,87,66,94,29,21,dsp,128.729,136.4593,19.8104,0.9434,120,120,1936,84,336,42,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c20/fc_512_128
0.6,0.4,1024x64,fc_512_128,21,228,1,2,2,6586,87,114,70,29,21,dsp,127.6317,136.4593,19.6415,0.9353,120,120,1936,84,336,42,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c40/fc_512_128
0.6,0.6,1024x64,fc_512_128,21,342,1,2,2,4391,87,171,47,29,21,dsp,126.594,136.4593,19.4818,0.9277,120,120,1936,84,336,42,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c60/fc_512_128
0.8,0.0,1024x64,fc_512_128,14,95,1,2,2,10978,58,47,117,29,14,dsp,130.0213,136.4593,13.3395,0.9528,120,120,1303,56,224,28,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c0/fc_512_128
0.8,0.2,1024x64,fc_512_128,14,152,1,2,2,8782,58,76,94,29,14,dsp,135.0273,136.4593,13.8531,0.9895,120,120,1303,56,224,28,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c20/fc_512_128
0.8,0.4,1024x64,fc_512_128,14,247,1,2,2,6586,58,123,70,29,14,dsp,129.521,136.4593,13.2882,0.9492,120,120,1303,56,224,28,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c40/fc_512_128
0.8,0.6,1024x64,fc_512_128,14,361,1,2,2,4391,58,180,47,29,14,dsp,128.869,136.4593,13.2213,0.9444,120,120,1303,56,224,28,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c60/fc_512_128
0.2,0.0,1024x64,fc_512_512,2,19,1,8,8,10978,174,2,117,29,43,dpe,138.8043,138.8043,2.0,1.0,120,120,198,8,32,16,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c0/fc_512_512
0.2,0.2,1024x64,fc_512_512,9,76,1,8,8,8782,174,9,94,29,43,dpe,133.0403,138.8043,8.6263,0.9585,120,120,877,36,144,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c20/fc_512_512
0.2,0.4,1024x64,fc_512_512,23,190,1,8,8,6586,174,23,70,29,43,dpe,129.4357,138.8043,21.4476,0.9325,120,120,2215,92,368,184,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c40/fc_512_512
0.2,0.6,1024x64,fc_512_512,29,285,1,8,8,4391,174,35,47,29,43,bram,126.0093,138.8043,26.3268,0.9078,120,120,2839,116,464,232,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c60/fc_512_512
0.4,0.0,1024x64,fc_512_512,4,38,1,8,8,10978,145,4,117,29,36,dpe,131.205,138.8043,3.781,0.9453,120,120,382,16,64,32,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c0/fc_512_512
0.4,0.2,1024x64,fc_512_512,11,95,1,8,8,8782,145,11,94,29,36,dpe,131.4793,138.8043,10.4195,0.9472,120,120,1074,44,176,88,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c20/fc_512_512
0.4,0.4,1024x64,fc_512_512,26,209,1,8,8,6586,145,26,70,29,36,dpe,127.8853,138.8043,23.9547,0.9213,120,120,2547,104,416,208,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c40/fc_512_512
0.4,0.6,1024x64,fc_512_512,29,304,1,8,8,4391,145,38,47,29,36,bram,124.6803,138.8043,26.0491,0.8982,120,120,2839,116,464,232,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c60/fc_512_512
0.6,0.0,1024x64,fc_512_512,9,76,1,8,8,10978,87,9,117,29,21,dpe,139.746,138.8043,9.0611,1.0068,120,120,877,36,144,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c0/fc_512_512
0.6,0.2,1024x64,fc_512_512,16,133,1,8,8,8782,87,16,94,29,21,dpe,130.7627,138.8043,15.073,0.9421,120,120,1575,64,256,128,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c20/fc_512_512
0.6,0.4,1024x64,fc_512_512,21,228,1,8,8,6586,87,28,70,29,21,dsp,133.2383,138.8043,20.1579,0.9599,120,120,2048,84,336,168,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c40/fc_512_512
0.6,0.6,1024x64,fc_512_512,21,342,1,8,8,4391,87,42,47,29,21,dsp,128.1383,138.8043,19.3863,0.9232,120,120,2048,84,336,168,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c60/fc_512_512
0.8,0.0,1024x64,fc_512_512,11,95,1,8,8,10978,58,11,117,29,14,dpe,136.146,138.8043,10.7893,0.9808,120,120,1074,44,176,88,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c0/fc_512_512
0.8,0.2,1024x64,fc_512_512,14,152,1,8,8,8782,58,19,94,29,14,dsp,133.816,138.8043,13.4969,0.9641,120,120,1373,56,224,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c20/fc_512_512
0.8,0.4,1024x64,fc_512_512,14,247,1,8,8,6586,58,30,70,29,14,dsp,135.108,138.8043,13.6272,0.9734,120,120,1373,56,224,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c40/fc_512_512
0.8,0.6,1024x64,fc_512_512,14,361,1,8,8,4391,58,45,47,29,14,dsp,131.826,138.8043,13.2962,0.9497,120,120,1373,56,224,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c60/fc_512_512
0.2,0.0,1024x64,fc_2048_256,2,19,2,4,8,10978,174,2,117,29,43,dpe,137.5243,137.5243,2.0,1.0,120,120,202,8,36,16,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c0/fc_2048_256
0.2,0.2,1024x64,fc_2048_256,9,76,2,4,8,8782,174,9,94,29,43,dpe,127.7587,137.5243,8.3609,0.929,120,120,901,36,162,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c20/fc_2048_256
0.2,0.4,1024x64,fc_2048_256,23,190,2,4,8,6586,174,23,70,29,43,dpe,111.5753,137.5243,18.6602,0.8113,120,120,2286,92,414,184,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c40/fc_2048_256
0.4,0.0,1024x64,fc_2048_256,4,38,2,4,8,10978,145,4,117,29,36,dpe,137.8337,137.5243,4.009,1.0022,120,120,399,16,72,32,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c0/fc_2048_256
0.4,0.2,1024x64,fc_2048_256,11,95,2,4,8,8782,145,11,94,29,36,dpe,126.0043,137.5243,10.0786,0.9162,120,120,1088,44,198,88,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c20/fc_2048_256
0.4,0.4,1024x64,fc_2048_256,26,209,2,4,8,6586,145,26,70,29,36,dpe,129.4557,137.5243,24.4746,0.9413,120,120,2640,104,468,208,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c40/fc_2048_256
0.6,0.0,1024x64,fc_2048_256,9,76,2,4,8,10978,87,9,117,29,21,dpe,133.1517,137.5243,8.7138,0.9682,120,120,901,36,162,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c0/fc_2048_256
0.6,0.2,1024x64,fc_2048_256,16,133,2,4,8,8782,87,16,94,29,21,dpe,120.6017,137.5243,14.0312,0.8769,120,120,1592,64,288,128,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c20/fc_2048_256
0.6,0.4,1024x64,fc_2048_256,21,228,2,4,8,6586,87,28,70,29,21,dsp,118.365,137.5243,18.0744,0.8607,120,120,2117,84,378,168,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c40/fc_2048_256
0.6,0.6,1024x64,fc_2048_256,21,342,2,4,8,4391,87,42,47,29,21,dsp,120.1617,137.5243,18.3487,0.8737,120,120,2117,84,378,168,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c60/fc_2048_256
0.8,0.0,1024x64,fc_2048_256,11,95,2,4,8,10978,58,11,117,29,14,dpe,124.289,137.5243,9.9414,0.9038,120,120,1088,44,198,88,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c0/fc_2048_256
0.8,0.2,1024x64,fc_2048_256,14,152,2,4,8,8782,58,19,94,29,14,dsp,132.0023,137.5243,13.4379,0.9598,120,120,1417,56,252,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c20/fc_2048_256
0.8,0.4,1024x64,fc_2048_256,14,247,2,4,8,6586,58,30,70,29,14,dsp,129.6747,137.5243,13.2009,0.9429,120,120,1417,56,252,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c40/fc_2048_256
0.8,0.6,1024x64,fc_2048_256,14,361,2,4,8,4391,58,45,47,29,14,dsp,123.3133,137.5243,12.5533,0.8967,120,120,1417,56,252,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c60/fc_2048_256
0.2,0.0,1024x256,fc_512_128,13,13,1,1,1,10978,174,13,117,29,43,dpe,129.6137,129.6137,13.0,1.0,120,120,1199,52,208,13,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d20_c0/fc_512_128
0.2,0.2,1024x256,fc_512_128,13,13,1,1,1,8782,174,13,94,29,43,dpe,129.6137,129.6137,13.0,1.0,120,120,1199,52,208,13,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d20_c20/fc_512_128
0.2,0.4,1024x256,fc_512_128,13,13,1,1,1,6586,174,13,70,29,43,dpe,129.6137,129.6137,13.0,1.0,120,120,1199,52,208,13,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d20_c40/fc_512_128
0.2,0.6,1024x256,fc_512_128,29,39,1,1,1,4391,174,39,47,29,43,bram,115.696,129.6137,25.886,0.8926,120,120,2663,116,464,29,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d20_c60/fc_512_128
0.4,0.0,1024x256,fc_512_128,26,26,1,1,1,10978,145,26,117,29,36,dpe,117.6023,129.6137,23.5906,0.9073,120,120,2402,104,416,26,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d40_c0/fc_512_128
0.4,0.2,1024x256,fc_512_128,26,26,1,1,1,8782,145,26,94,29,36,dpe,117.6023,129.6137,23.5906,0.9073,120,120,2402,104,416,26,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d40_c20/fc_512_128
0.4,0.4,1024x256,fc_512_128,26,26,1,1,1,6586,145,26,70,29,36,dpe,117.6023,129.6137,23.5906,0.9073,120,120,2402,104,416,26,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d40_c40/fc_512_128
0.4,0.6,1024x256,fc_512_128,29,52,1,1,1,4391,145,52,47,29,36,bram,118.7497,129.6137,26.5693,0.9162,120,120,2663,116,464,29,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d40_c60/fc_512_128
0.6,0.0,1024x256,fc_512_128,21,52,1,1,1,10978,87,52,117,29,21,dsp,134.694,129.6137,21.8231,1.0392,120,120,1943,84,336,21,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d60_c0/fc_512_128
0.6,0.2,1024x256,fc_512_128,21,52,1,1,1,8782,87,52,94,29,21,dsp,134.694,129.6137,21.8231,1.0392,120,120,1943,84,336,21,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d60_c20/fc_512_128
0.6,0.4,1024x256,fc_512_128,21,52,1,1,1,6586,87,52,70,29,21,dsp,134.694,129.6137,21.8231,1.0392,120,120,1943,84,336,21,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d60_c40/fc_512_128
0.6,0.6,1024x256,fc_512_128,21,65,1,1,1,4391,87,65,47,29,21,dsp,132.648,129.6137,21.4916,1.0234,120,120,1943,84,336,21,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d60_c60/fc_512_128
0.8,0.0,1024x256,fc_512_128,14,65,1,1,1,10978,58,65,117,29,14,dsp,134.0813,129.6137,14.4826,1.0345,120,120,1304,56,224,14,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d80_c0/fc_512_128
0.8,0.2,1024x256,fc_512_128,14,65,1,1,1,8782,58,65,94,29,14,dsp,134.0813,129.6137,14.4826,1.0345,120,120,1304,56,224,14,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d80_c20/fc_512_128
0.8,0.4,1024x256,fc_512_128,14,65,1,1,1,6586,58,65,70,29,14,dsp,134.0813,129.6137,14.4826,1.0345,120,120,1304,56,224,14,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d80_c40/fc_512_128
0.8,0.6,1024x256,fc_512_128,14,65,1,1,1,4391,58,65,47,29,14,dsp,134.0813,129.6137,14.4826,1.0345,120,120,1304,56,224,14,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d80_c60/fc_512_128
